id,donor_long,donor_short,agency_long,agency_short,donor_slug,agency_slug,donor_description,agency_description,recipient,donor_responded,cso_name,iati,dac,totalaid,recipient1,recipient1_value,recipient2,recipient2_value,recipient3,recipient3_value,recipient4,recipient4_value,recipient5,recipient5_value,url,rank,rank_order,total,total_org,total_country,total_activity,ranking_group,ranking_group_order,updatetext,donor_tag
48,Norway,Norway,Ministry of Foreign Affairs,,norway,,,"Norway is an original signatory to IATI but has yet to produce an implementation schedule. Norway has joined OGP and published a draft National Action Plan.
Norway performed moderately, dropping eight places in rank due to progress made by other donors. It scored poorly at the country level, where it scored on no indicators unrelated to their project database. Norway performed relatively well at the organisation level, ranking 24th overall at this level. Though Norway’s score increased from the 2011 Index, this is entirely attributable to its performance on the new indicators: controlling for methodological changes, Norway performed consistently with their 2011 score. The information is available in a searchable database in English and Norwegian that can be downloaded in CSV or Excel format. This database could be relatively easily converted to the IATI format.
Norway should produce an implementation schedule by December 2012 that sets out an ambitious timetable for initial publication in 2013 and full implementation by 2015. It should also include IATI in its revised OGP National Action Plan.",,yes,Utviklingsfondet,,,,,,,,,,,,,,,35,35,0.441534,0.638889,0.285714,0.4,moderate,3,,Bilateral
49,Poland,Poland,Ministry of Foreign Affairs,,poland,,,"Poland has not signed IATI or joined OGP. It has committed to implement the Busan common standard.
Poland ranks 52nd overall, having increased its score substantially from 2011, when changes to the 2012 methodology are accounted for. This is due to the publication of a PDF document listing basic information of all projects in Polish, with less information also available in English. Poland performs particularly poorly on the country and activity levels, scoring below the average of donors in the poor category for both. Poland did not return a request to provide feedback during the survey process.
Poland should sign IATI and produce an implementation schedule for the Busan common standard by December 2012, including ambitious commitments to publish the IATI elements of the standard and in the IATI XML format. Poland should also consider joining OGP.",,yes,,,,,,,,,,,,,,,,52,52,0.25836,0.472222,0.142857,0.16,poor,4,,Bilateral
50,Portugal,Portugal,Camões &mdash; Instituto da Cooperação e da Língua,,portugal,,,"<i>Since the end of data collection, the Portuguese Institute for Development Assistance (IPAD) has become part of the Camões Institute. However, the www.ipad.mne.pt website redirects to the relevant section of the Camões Institute website, which appears to contain the same content, although some of the links are now broken.
Portugal has not signed IATI or joined OGP. It has committed to implement the Busan common standard.</i>
Portugal performs poorly, scoring on no activity level indicators: while more information is available on the IPAD website than in 2011, it is not comprehensive. Portugal’s score increased slightly from the 2011 Index, though this increase is due to changes in the 2012 methodology. When the changes of the 2012 methodology are controlled for, Portugal performed consistently with their 2011 score. Very basic project information is published for some activities on the IPAD website.
Portugal should sign IATI and produce an implementation schedule for the Busan common standard by December 2012, including ambitious commitments to publish the IATI elements of the standard and in the IATI XML format. It should also consider joining OGP.",,yes,Plataforma Portuguesa de ONGD,,,,,,,,,,,,,,,59,59,0.224868,0.388889,0.285714,0,poor,4,,Bilateral
51,Romania,Romania,Ministry of Foreign Affairs,,romania,,,"Romania has not signed IATI but has committed to implement the Busan common standard. It is a member of OGP and has published a National Action Plan, which promises a uniform publishing format of open data that is machine-readable.
Romania performed poorly, dropping to 65th (out of 72) from 51st (out of 58) in the 2011 Index due to the addition of higher performing donors. Romania’s score did increase, due to the publication of some project information in a hard to find Romanian-language PDF document that lists very basic information for projects implemented in 2012. Romania does not score for any country level indicators not related to this document. The Romanian MFA did not respond to an invitation to provide feedback during the survey process.
Romania should sign IATI and produce an implementation schedule for the Busan common standard by December 2012, including ambitious commitments to publish the IATI elements of the standard and in the IATI XML format. Romania should also revise its OGP National Action Plan to include IATI.",,yes,,,,,,,,,,,,,,,,65,65,0.120582,0.138889,0.142857,0.08,very poor,5,,Bilateral
52,Slovakia,Slovakia,Slovak Agency for International Development Cooperation,,slovakia,,,"Slovakia has not signed IATI but has committed to implement the Busan common standard. It is a member of OGP and has published a National Action Plan. An Open Data portal, www.data.gov.sk, has been launched and the Ministry of Finance runs a budget information site, rozpo?et.sk.
Slovakia performed poorly, dropping to 61st from 42nd in the 2011 Index due to the addition of higher performing donors to the 2012 Index. The most recent project information published on the SlovakAid website is from 2010. Though Slovakia does publish a list of all approved and non-approved applications to SlovakAid in 2012 in Slovak, it could not be assumed that this document represented the entirety of current Slovak aid projects. Slovakia does perform well at the organisation level, scoring just beneath the average of donors in the moderate category; no other donor in the very poor category scored near a moderate average on any level. Slovakia did not respond to requests for comment during the survey process.
Slovakia should sign IATI and build on the example of data.gov.sk by producing an implementation schedule for the Busan common standard by December 2012, including ambitious commitments to publish the IATI elements of the standard and in the IATI XML format.",,no,,,,,,,,,,,,,,,,61,61,0.198519,0.555556,0,0.04,very poor,5,,Bilateral
53,Slovenia,Slovenia,Ministry of Foreign Affairs,,slovenia,,,"Slovenia has not signed IATI or joined OGP. It has committed to implement the Busan common standard. Comments provided by the donor have stated that comprehensive project information will be published in 2013.
Slovenia performs poorly, not scoring for any activity level indicators. Slovenia performed consistently with their 2011 score, dropping 16 places from its 2011 ranking (57/72 in 2012 against 41/58 in 2011) due to the addition of higher performing donors and progress made by other donors. Slovenia performs relatively well at the country level, scoring just below the average of donors in the moderate category for this level. Slovenia does provide some project level information in their annual reports.
Slovenia should sign IATI and produce an implementation schedule for the Busan common standard by December 2012, including ambitious commitments to publish the IATI elements of the standard and in the IATI XML format. Slovenia should also consider joining OGP.",,yes,Ekvilib Institute and SLOGA &mdash; Slovenian Global Action,,,,,,,,,,,,,,,57,57,0.234127,0.416667,0.285714,0,poor,4,,Bilateral
54,Spain,Spain,Spanish Agency for International Development Cooperation,,spain,,,"Spain should be congratulated for beginning publication to the IATI Registry before HLF-4. Spain has endorsed the Open Aid Partnership and has committed to improving its aid transparency in its OGP National Action Plan. This aims to improve the quality and frequency of its IATI publication and deliver its integrated ODA information system, info@OD.
Spain performed poorly overall. Its increase in score is accounted for by changes in the 2012 methodology. Once these are controlled for, Spain performs consistently with their 2011 Index score. It scored significantly lower than average amongst donors in the poor category for the organisation level, though considerably higher than such averages for the country and activity levels. Most project information is found in a database on country websites, making it difficult to account for the totality of Spain’s activities. Data published to IATI has not been updated since October 2010. Spain did not respond to a request to provide feedback during the survey process.
Spain should continue to improve the quality of its IATI data and provide an implementation schedule by December 2012. Info@OD represents a good opportunity to provide timely information, at least every quarter, for the central government Ministries, so IATI compatibility should be built in from the start. Spain should also bring into force a Freedom of Information Act.",,no,,,,,,,,,,,,,,,,45,45,0.322275,0.361111,0.285714,0.32,poor,4,,Bilateral
55,Sweden,Sweden,Swedish International Development Cooperation Agency,,sweden,,,"Sweden should be congratulated for beginning publication to the IATI Registry before HLF-4, in line with its implementation schedule. Openaid.se was launched as part of Sweden’s Aid Transparency Guarantee. It is an active supporter of aid transparency globally, supporting IATI and the Open Aid Partnership financially. Sweden has also committed to aid transparency as part of its OGP National Action Plan, including fully implementing IATI by 2015, and broadening its open government commitments.
Sweden has improved its score compared to 2011 when controlling for changes to the 2012 methodology. Nevertheless, it has moved from 6th to 7th place (4th among EU Member States) on account of significant progress made by Denmark and DG DEVCO. Sweden scores inconsistently across the three levels, tying for the highest overall score at the organisation level (100.0%), while ranking 33rd at the activity level (44.0%). Responding to the survey, Sweden noted that it will be improving its IATI data feed, increasing information at the activity level.
Sweden should continue to improve the quality of its IATI data and provide a refreshed implementation schedule by December 2012. Particular attention should be paid to traceability by employing unique organisation identifiers for its recipient and implementing partners. In order to improve the quality of its IATI feed (provided by its excellent public interface, Openaid.se), Sweden should encourage wider use of this feed to identify potential improvements. IATI publication should also be extended to other ministries.",,yes,CONCORD Sweden,,,,,,,,,,,,,,,7,7,0.718095,1,0.714286,0.44,fair,2,,Bilateral
56,Switzerland,Switzerland,Swiss Agency for Development and Cooperation,,switzerland,,,"Switzerland signed IATI in 2009 and produced an implementation schedule in September 2011. It is yet to publish to the IATI Registry, despite committing to an initial publication of 2010 CRS++ data before HLF-4. It is not a member of OGP.
Switzerland performed poorly, scoring well at the organisation level but not scoring for any country or activity level indicators. Switzerland decreased substantially in score and rank from the 2011 Index where it ranked 19th (out of 58) and scored 39%. This is due to a slight decrease in their performance on the country and activity levels. Most project level information is dispersed over a centralised database and databases housed on the websites, though neither are comprehensive. Switzerland did not respond to invitations for feedback during the survey process.
Switzerland should produce a revised implementation schedule by December 2012 that sets out an ambitious timetable for initial publication in 2013 and full implementation by 2015. It should also improve its online project database to ensure comprehensive publication. Switzerland should also consider joining OGP.",,no,AidRating,,,,,,,,,,,,,,,55,55,0.25,0.75,0,0,poor,4,,Bilateral
57,United Kingdom,UK,Department of Energy and Climate Change,DECC,uk,decc,"The 2011 Pilot Index assessed the transparency of the Department for International Development (DFID) and the UK’s development finance institution, CDC Group. Five UK public bodies are included in the 2012 Index to provide a fuller account of UK aid transparency. They comprise four government departments &mdash; the Department of Energy and Climate Change (DECC), DFID, the Foreign and Commonwealth Office (FCO), and the Ministry of Defence (MOD) &mdash; plus CDC.
Two UK organisations have signed IATI &mdash; DFID and CDC &mdash; though subsequent statements in the UK’s OGP National Action Plan suggest that all UK Government departments are included. The UK’s IATI data feed currently includes only DFID information, which comprises about 90% of UK ODA.
The UK is an active supporter of aid transparency globally. It has hosted IATI since 2008 and has endorsed the Open Aid Partnership. It is also a founding member of OGP, serving as a lead co-chair for a year from September 2012, and has included aid transparency in its OGP National Action Plan. The Plan, published in September 2011, promised a timetable within 12 months for implementation of IATI by all ODA-spending departments, which include DECC, the Export Credit Guarantee Department, FCO and MOD, as well as CDC and DFID.
A UK Aid Transparency Guarantee was announced in 2010, pledging to make aid “fully transparent”. A progress review was published in April 2012.71 All UK Government departments produced open data strategies in June 2012 to accompany a Cabinet Office white paper on open data.
The 2012 Index shows a wide range in the state of UK aid transparency: DFID was one of only two organisations to achieve a good score, ranking most transparent of all surveyed organisations in the 2012 Index; DECC was moderate, with 49.6%; MOD, CDC and FCO all scored in the poor category. This is generally reflective of the relative ambition, detail and mindset suggested by the recent open data strategies of DFID, MOD and FCO. The exceptions are DECC, whose strategy is not explicit about aid information but performs particularly well at the organisation level indictors; and CDC, which was not required to publish a strategy but is explicitly committed to IATI and has said that it will begin publishing imminently.
The UK should continue to lead on aid transparency by improving the quality of its IATI data and provide a refreshed implementation schedule by December 2012. Employing unique organisation identifiers for its implementing partners would allow DFID to be one of the first publishers to deliver on the exciting potential of traceability. It should also include private sector contractors in its requirement for implementing partners to publish to IATI.
IATI publication should be extended to other aid-spending departments and public bodies. The UK Government should produce an ambitious schedule for this implementation in line with its OGP commitment.","DECC published an open data strategy in June 2012, committing to “review the case for making underlying datasets available where the data would not breach the privacy of individuals”; aid information has not been specified.
DECC performed particularly well at the organisation level indicators, ranking 13th overall for this level. Little country level data was published. DECC scored on the results and evaluations indicators despite not having any completed projects due to the fact that project plans indicate that all evaluations and results will be published. It is notable that DECC also scored consistently with the average score of the three climate finance institutions assessed. Most project level information is available in extensive business case documents, published online in a PDF. In responding to the survey, DECC stated that they were developing a comprehensive and centralised webpage for project information, will be submitting to the IATI Registry later in 2012, and will then provide regular updates.
DECC should work with DFID and the Cabinet Office to develop an IATI implementation schedule and begin implementation in 2013. It should revise its open data strategy to identify aid programme data and include IATI implementation.",,yes,UK Aid Network,,,,,,,,,,,,,,,28,28,0.495979,0.722222,0.285714,0.48,moderate,3,,Bilateral
58,United Kingdom,UK,Foreign and Commonwealth Office,FCO,uk,fco,"The 2011 Pilot Index assessed the transparency of the Department for International Development (DFID) and the UK’s development finance institution, CDC Group. Five UK public bodies are included in the 2012 Index to provide a fuller account of UK aid transparency. They comprise four government departments &mdash; the Department of Energy and Climate Change (DECC), DFID, the Foreign and Commonwealth Office (FCO), and the Ministry of Defence (MOD) &mdash; plus CDC.
Two UK organisations have signed IATI &mdash; DFID and CDC &mdash; though subsequent statements in the UK’s OGP National Action Plan suggest that all UK Government departments are included. The UK’s IATI data feed currently includes only DFID information, which comprises about 90% of UK ODA.
The UK is an active supporter of aid transparency globally. It has hosted IATI since 2008 and has endorsed the Open Aid Partnership. It is also a founding member of OGP, serving as a lead co-chair for a year from September 2012, and has included aid transparency in its OGP National Action Plan. The Plan, published in September 2011, promised a timetable within 12 months for implementation of IATI by all ODA-spending departments, which include DECC, the Export Credit Guarantee Department, FCO and MOD, as well as CDC and DFID.
A UK Aid Transparency Guarantee was announced in 2010, pledging to make aid “fully transparent”. A progress review was published in April 2012.71 All UK Government departments produced open data strategies in June 2012 to accompany a Cabinet Office white paper on open data.
The 2012 Index shows a wide range in the state of UK aid transparency: DFID was one of only two organisations to achieve a good score, ranking most transparent of all surveyed organisations in the 2012 Index; DECC was moderate, with 49.6%; MOD, CDC and FCO all scored in the poor category. This is generally reflective of the relative ambition, detail and mindset suggested by the recent open data strategies of DFID, MOD and FCO. The exceptions are DECC, whose strategy is not explicit about aid information but performs particularly well at the organisation level indictors; and CDC, which was not required to publish a strategy but is explicitly committed to IATI and has said that it will begin publishing imminently.
The UK should continue to lead on aid transparency by improving the quality of its IATI data and provide a refreshed implementation schedule by December 2012. Employing unique organisation identifiers for its implementing partners would allow DFID to be one of the first publishers to deliver on the exciting potential of traceability. It should also include private sector contractors in its requirement for implementing partners to publish to IATI.
IATI publication should be extended to other aid-spending departments and public bodies. The UK Government should produce an ambitious schedule for this implementation in line with its OGP commitment.","FCO published an open data strategy in June 2012, recognising the need for organisational culture shift, including identifying new data sources for publication; unreleased aid information has not been identified.
FCO performed poorly, ranking last out of the five UK agencies assessed. Like all UK organisations surveyed, the FCO performed well at the organisation level, but it publishes no current country or activity level aid information comprehensively. The FCO performs poorly at the activity level as it only reports such information to the OECD-DAC CRS. The most recent data available from the CRS is from 2010, which is not current. Publication to the OECD-DAC suggests that comprehensive project data is collected, which could be published to IATI.
FCO should work with DFID and the Cabinet Office to develop an IATI implementation schedule and begin implementation in 2013. It should revise its open data strategy to identify aid programme data and include IATI implementation.",,yes,UK Aid Network,,,,,,,,,,,,,,,60,60,0.212963,0.638889,0,0,poor,4,,Bilateral
59,United Kingdom,UK,Ministry of Defence,MOD,uk,mod,"The 2011 Pilot Index assessed the transparency of the Department for International Development (DFID) and the UK’s development finance institution, CDC Group. Five UK public bodies are included in the 2012 Index to provide a fuller account of UK aid transparency. They comprise four government departments &mdash; the Department of Energy and Climate Change (DECC), DFID, the Foreign and Commonwealth Office (FCO), and the Ministry of Defence (MOD) &mdash; plus CDC.
Two UK organisations have signed IATI &mdash; DFID and CDC &mdash; though subsequent statements in the UK’s OGP National Action Plan suggest that all UK Government departments are included. The UK’s IATI data feed currently includes only DFID information, which comprises about 90% of UK ODA.
The UK is an active supporter of aid transparency globally. It has hosted IATI since 2008 and has endorsed the Open Aid Partnership. It is also a founding member of OGP, serving as a lead co-chair for a year from September 2012, and has included aid transparency in its OGP National Action Plan. The Plan, published in September 2011, promised a timetable within 12 months for implementation of IATI by all ODA-spending departments, which include DECC, the Export Credit Guarantee Department, FCO and MOD, as well as CDC and DFID.
A UK Aid Transparency Guarantee was announced in 2010, pledging to make aid “fully transparent”. A progress review was published in April 2012.71 All UK Government departments produced open data strategies in June 2012 to accompany a Cabinet Office white paper on open data.
The 2012 Index shows a wide range in the state of UK aid transparency: DFID was one of only two organisations to achieve a good score, ranking most transparent of all surveyed organisations in the 2012 Index; DECC was moderate, with 49.6%; MOD, CDC and FCO all scored in the poor category. This is generally reflective of the relative ambition, detail and mindset suggested by the recent open data strategies of DFID, MOD and FCO. The exceptions are DECC, whose strategy is not explicit about aid information but performs particularly well at the organisation level indictors; and CDC, which was not required to publish a strategy but is explicitly committed to IATI and has said that it will begin publishing imminently.
The UK should continue to lead on aid transparency by improving the quality of its IATI data and provide a refreshed implementation schedule by December 2012. Employing unique organisation identifiers for its implementing partners would allow DFID to be one of the first publishers to deliver on the exciting potential of traceability. It should also include private sector contractors in its requirement for implementing partners to publish to IATI.
IATI publication should be extended to other aid-spending departments and public bodies. The UK Government should produce an ambitious schedule for this implementation in line with its OGP commitment.","MOD published an open data strategy in June 2012 that commits it to “embedding transparency”, including identifying new data sources for publication; aid information has not been identified.
MOD performed well at the organisation level indicators, but does not score for any activity level indicators. MOD scored on several country level indicators for operations in Afghanistan, though it is not necessarily clear what aid operations are being implemented outside of Afghanistan. MOD ranks 3rd among all UK agencies assessed. The CSO reported that some general information is available on activities, including in news items. MOD did not respond to invitations to comment on the survey.
MOD should work with DFID and the Cabinet Office to develop an IATI implementation schedule and begin implementation in 2013. It should revise its open data strategy to identify aid programme data and include IATI implementation.",,no,UK Aid Network,,,,,,,,,,,,,,,51,51,0.260582,0.638889,0.142857,0,poor,4,,Bilateral
60,United Kingdom,UK,CDC,CDC,uk,cdc,"The 2011 Pilot Index assessed the transparency of the Department for International Development (DFID) and the UK’s development finance institution, CDC Group. Five UK public bodies are included in the 2012 Index to provide a fuller account of UK aid transparency. They comprise four government departments &mdash; the Department of Energy and Climate Change (DECC), DFID, the Foreign and Commonwealth Office (FCO), and the Ministry of Defence (MOD) &mdash; plus CDC.
Two UK organisations have signed IATI &mdash; DFID and CDC &mdash; though subsequent statements in the UK’s OGP National Action Plan suggest that all UK Government departments are included. The UK’s IATI data feed currently includes only DFID information, which comprises about 90% of UK ODA.
The UK is an active supporter of aid transparency globally. It has hosted IATI since 2008 and has endorsed the Open Aid Partnership. It is also a founding member of OGP, serving as a lead co-chair for a year from September 2012, and has included aid transparency in its OGP National Action Plan. The Plan, published in September 2011, promised a timetable within 12 months for implementation of IATI by all ODA-spending departments, which include DECC, the Export Credit Guarantee Department, FCO and MOD, as well as CDC and DFID.
A UK Aid Transparency Guarantee was announced in 2010, pledging to make aid “fully transparent”. A progress review was published in April 2012.71 All UK Government departments produced open data strategies in June 2012 to accompany a Cabinet Office white paper on open data.
The 2012 Index shows a wide range in the state of UK aid transparency: DFID was one of only two organisations to achieve a good score, ranking most transparent of all surveyed organisations in the 2012 Index; DECC was moderate, with 49.6%; MOD, CDC and FCO all scored in the poor category. This is generally reflective of the relative ambition, detail and mindset suggested by the recent open data strategies of DFID, MOD and FCO. The exceptions are DECC, whose strategy is not explicit about aid information but performs particularly well at the organisation level indictors; and CDC, which was not required to publish a strategy but is explicitly committed to IATI and has said that it will begin publishing imminently.
The UK should continue to lead on aid transparency by improving the quality of its IATI data and provide a refreshed implementation schedule by December 2012. Employing unique organisation identifiers for its implementing partners would allow DFID to be one of the first publishers to deliver on the exciting potential of traceability. It should also include private sector contractors in its requirement for implementing partners to publish to IATI.
IATI publication should be extended to other aid-spending departments and public bodies. The UK Government should produce an ambitious schedule for this implementation in line with its OGP commitment.","CDC should be congratulated for signing IATI during HLF-4. Its implementation schedule is currently in development.
CDC scored 22.5% overall, ranking in the poor category; but it improved by 11.1 percentage points on its 2011 score, a substantive increase in transparency, not due to methodological changes. CDC ranks 7th amongst DFIs assessed, scoring below the DFI average across all levels. CDC scores well for the organisation level, but does not score for any country level indicators. It publishes very little activity level data systematically, though detailed information is provided for some projects, published as case studies. CDC also published some data tables that are ready to be converted into the IATI format, but these are annually aggregated figures which do not provide the detailed activity level information required to score well in this Index. CDC was working on publishing to IATI during the data collection period but was unable to complete this in time to be reflected in the 2012 Index.
CDC should produce an implementation schedule by December 2012 and begin implementation by 2013. It should publish information on transactions between itself and the funds it invests in, and begin publishing information down to the level of the individual investee businesses where contractual obligations with fund managers do not prohibit this. It should also write a disclosure clause into all new contracts to ensure it has the right to publish information about businesses that are invested in using CDC’s funding.",,yes,UK Aid Network,,,,,,,,,,,,,,,58,58,0.225185,0.555556,0,0.12,poor,4,,IFI/DFI
61,United Kingdom,UK,Department for International Development,DFID,uk,dfid,"The 2011 Pilot Index assessed the transparency of the Department for International Development (DFID) and the UK’s development finance institution, CDC Group. Five UK public bodies are included in the 2012 Index to provide a fuller account of UK aid transparency. They comprise four government departments &mdash; the Department of Energy and Climate Change (DECC), DFID, the Foreign and Commonwealth Office (FCO), and the Ministry of Defence (MOD) &mdash; plus CDC.
Two UK organisations have signed IATI &mdash; DFID and CDC &mdash; though subsequent statements in the UK’s OGP National Action Plan suggest that all UK Government departments are included. The UK’s IATI data feed currently includes only DFID information, which comprises about 90% of UK ODA.
The UK is an active supporter of aid transparency globally. It has hosted IATI since 2008 and has endorsed the Open Aid Partnership. It is also a founding member of OGP, serving as a lead co-chair for a year from September 2012, and has included aid transparency in its OGP National Action Plan. The Plan, published in September 2011, promised a timetable within 12 months for implementation of IATI by all ODA-spending departments, which include DECC, the Export Credit Guarantee Department, FCO and MOD, as well as CDC and DFID.
A UK Aid Transparency Guarantee was announced in 2010, pledging to make aid “fully transparent”. A progress review was published in April 2012.71 All UK Government departments produced open data strategies in June 2012 to accompany a Cabinet Office white paper on open data.
The 2012 Index shows a wide range in the state of UK aid transparency: DFID was one of only two organisations to achieve a good score, ranking most transparent of all surveyed organisations in the 2012 Index; DECC was moderate, with 49.6%; MOD, CDC and FCO all scored in the poor category. This is generally reflective of the relative ambition, detail and mindset suggested by the recent open data strategies of DFID, MOD and FCO. The exceptions are DECC, whose strategy is not explicit about aid information but performs particularly well at the organisation level indictors; and CDC, which was not required to publish a strategy but is explicitly committed to IATI and has said that it will begin publishing imminently.
The UK should continue to lead on aid transparency by improving the quality of its IATI data and provide a refreshed implementation schedule by December 2012. Employing unique organisation identifiers for its implementing partners would allow DFID to be one of the first publishers to deliver on the exciting potential of traceability. It should also include private sector contractors in its requirement for implementing partners to publish to IATI.
IATI publication should be extended to other aid-spending departments and public bodies. The UK Government should produce an ambitious schedule for this implementation in line with its OGP commitment.","DFID was the first organisation to publish to the IATI Registry and should be congratulated for committing to monthly publication. DFID published an ambitious open data strategy in June 2012, which promises greater IATI data quality, support for developers, and project-level IATI results data. It also plans to launch a new version of its aid information platform in late 2012, using data in the IATI XML format. It is designed to contain its own activities and those of its partners, including private sector contractors, to increase traceability.
DFID performed very well, coming 1st in the ranking. Its overall score was 91.2%, making it one of only two organisations to score in the good category and one of only two to score full marks for the organisation level indicators. DFID improved significantly at the country level, tying 1st amongst all donors and achieving a score of 85.7%, compared to 25.0% on this level in the 2011 Index. DFID also tied 1st amongst all donors at the activity level, having scored on three activity level indicators which it missed in 2011. Overall, DFID posted the largest increase from the 2011 Index of all donors. DFID has begun to publish some information in local languages, including detailed intervention summaries.
In order to improve the quality of its IATI data, DFID should encourage wider use of this feed to identify potential improvements to the data. DFID should also publish its MoUs with partner countries and pilot the forthcoming IATI budget identifier.",,yes,UK Aid Network,,,,,,,,,,,,,,,1,1,0.912381,1,0.857143,0.88,good,1,,Bilateral
62,UNOCHA,UNOCHA,United Nations Office for the Coordination of Humanitarian Affairs,,unocha,,,"OCHA should be congratulated for signing IATI in August 2012. It is currently working with the IATI Secretariat to produce an
implementation schedule.
OCHA performed well, particularly at the country level where it ties for the highest score amongst all donors. OCHA has difficulty scoring on several indicators as both a coordinating body that occasionally relies on the policies and procedures of other donors and as a humanitarian aid institution that frequently operates on short timescales. Most information is published on the Financial Tracking Service (FTS), though other information is available on a country level website and on the OCHA homepage, and is available in English and French. The FTS is more generally constrained by the extent to which donors (voluntarily and manually) report to it: IATI could provide a significant advantage in this area by populating this database automatically.
OCHA should finalise its implementation schedule by the end of 2012 and begin publication in 2013. It should also work with other humanitarian organisations, such as ECHO and NGOs, to ensure the comprehensive and coordinated IATI publication of humanitarian aid information. It could take particular advantage of the traceability features of IATI.",,yes,,,,,,,,,,,,,,,,15,15,0.603122,0.472222,0.857143,0.48,fair,2,,Multilateral
63,UNDP,UNDP,United Nations Development Programme,,undp,,,"UNDP is an original IATI signatory. It should be congratulated for beginning publication to the IATI Registry in November 2011. Full IATI implementation was scheduled for November 2012, after the adoption of the International Public Sector Accounting Standard (IPSAS) in January 2012. UNDP also provides liaison and support for the IATI partner country caucus.
UNDP performed well, with a modest increase from their 2011 Index score, controlling for methodological changes in the 2012 Index. UNDP performed well at the country level but below average for the organisation level amongst donors in the moderate group. UNDP currently publishes information to IATI, though it is only for 2010, so it could not be taken into account for the purposes of this Index as it is not current. Most current project level information was found on a country-specific website, where project level information was dispersed amongst PDFs and a database.
UNDP should refresh its IATI data and implementation schedule by the end of 2012 and work toward automated publication to IATI. It should also share its experience of IATI implementation with other UN organisations.",,yes,,,,,,,,,,,,,,,,10,10,0.685344,0.638889,0.857143,0.56,fair,2,,Multilateral
64,UNICEF,UNICEF,United Nations Children’s Fund,,unicef,,,"UNICEF should be congratulated for signing IATI in April 2012. It has not yet produced an implementation schedule. In June 2012, the UNICEF board announced it will publish all its audits online from later in 2012.
UNICEF scored poorly overall, particularly at the country level (0%) and activity level (8%). UNICEF ranks third amongst the three UN agencies surveyed, last among all multilateral donors. UNICEF is the only multilateral donor to score 0% on any given level, though this score would have been higher had the Country Programme been up to date for all countries (for example, UNICEF had only published a programme dated 2003&mdash;2007 for India, though mentioning a 2008&mdash;2012 Programme). Most activity level information is dispersed across several websites and there is no centralised site where information can be accessed. Almost the only source of spending information is the annual/country reports, and these are very top line. UNICEF did not provide feedback during the survey process.
UNICEF should produce an implementation schedule by the end of 2012, in line with the Busan common standard agreement, and begin publication in 2013. It should also ensure that its documentation is comprehensively up to date.",,no,Save the Children UK,,,,,,,,,,,,,,,63,63,0.137778,0.333333,0,0.08,very poor,5,,Multilateral
